연월,시도,30대 이하,40대,50대,60대 이상
"2021-03","충남",22645,12060,6067,3131
"2021-03","경남",15547,7060,3257,1869
"2021-03","제주",845,357,138,55
"2021-04","서울",4130,686,211,105
"2021-04","부산",555,103,44,26
"2021-04","대구",5476,3791,1806,1151
"2021-04","인천",42617,13076,5181,3363
"2021-04","대전",4276,846,471,288
"2021-04","울산",6772,1795,867,421
"2021-04","경기",184061,80985,37543,21042
"2021-04","강원",43,27,15,9
"2021-04","충북",1250,752,420,207
"2021-04","충남",18468,10368,4498,2443
"2021-04","전남",1335,319,188,70
"2021-04","경북",5222,3043,2023,1021
"2021-04","경남",17871,10360,5630,2962
"2021-04","제주",1388,860,333,221
"2021-05","서울",6693,988,301,158
"2021-05","대구",2217,1004,638,333
"2021-05","인천",6697,1482,720,350
"2021-05","광주",711,125,40,21
"2021-05","대전",7510,2026,805,484
"2021-05","경기",43295,14148,6173,3228
"2021-05","강원",211,180,65,25
"2021-05","충북",8028,1250,739,474
"2021-05","충남",5312,3268,1304,581
"2021-05","전북",13996,7772,4471,2891
"2021-05","경북",381,180,97,44
"2021-05","경남",6060,3541,1379,762
"2021-06","서울",17323,11745,4830,2218
"2021-06","부산",28107,8553,3737,3900
"2021-06","대구",2470,943,486,283
"2021-06","인천",9066,3209,1569,893
"2021-06","대전",7384,1458,568,366
"2021-06","울산",1720,237,57,33
"2021-06","경기",40154,12925,5748,3548
"2021-06","강원",2048,889,598,366
"2021-06","충북",1945,823,350,220
"2021-06","충남",2940,665,281,126
"2021-06","전북",671,274,131,87
"2021-06","경북",8532,4840,2771,1715
"2021-06","경남",34,11,13,4
"2021-07","서울",4229,492,165,86
"2021-07","부산",358,47,19,25
"2021-07","대구",4868,1530,879,416
"2021-07","인천",17131,5557,3159,1965
"2021-07","광주",310,36,18,9
"2021-07","울산",173,38,13,6
"2021-07","세종",130201,58658,32659,22084
"2021-07","경기",37804,12404,6089,3279
"2021-07","강원",14672,10480,6863,6096
"2021-07","충북",4300,883,254,164
"2021-07","충남",12911,5609,3204,1640
"2021-07","전북",4330,2509,1231,874
"2021-07","전남",1039,508,206,109
"2021-07","경북",5907,2810,1415,679
"2021-07","경남",22617,9519,4911,3230
"2021-07","제주",37,6,2,0
"2021-08","서울",2705,355,110,40
"2021-08","부산",3797,755,230,232
"2021-08","대구",1153,311,134,83
"2021-08","인천",4511,940,395,224
"2021-08","광주",7058,2346,1002,605
"2021-08","경기",55390,18564,7966,3934
"2021-08","충남",11114,4461,2133,1412
"2021-08","전북",326,220,114,42
"2021-08","전남",2037,478,330,125
"2021-08","경남",5415,2889,1435,873
"2021-09","서울",85141,46524,21802,12001
"2021-09","부산",6156,1251,441,374
"2021-09","대구",334,119,77,47
"2021-09","인천",16103,4640,2154,1234
"2021-09","대전",9146,2215,1001,592
"2021-09","경기",67844,27511,11888,6688
"2021-09","강원",14012,9449,5881,4811
"2021-09","충북",9493,2088,1201,666
"2021-09","전남",1004,393,203,125
"2021-09","경북",1809,1278,738,367
"2021-09","경남",19326,11121,5887,3617
"2021-09","제주",237,118,37,12
"2021-10","부산",6458,3265,1501,1431
"2021-10","대구",928,302,108,68
"2021-10","인천",1958,525,213,97
"2021-10","광주",3602,623,205,82
"2021-10","대전",6711,1651,629,377
"2021-10","경기",73740,25398,12092,7546
"2021-10","강원",4826,2876,1678,1008
"2021-10","충남",777,407,215,202
"2021-10","전북",640,157,118,34
"2021-10","전남",9,2,0,0
"2021-10","경북",2034,1189,565,342
"2021-10","경남",21366,9929,4952,2698
"2021-10","제주",465,184,41,41
"2021-11","서울",12895,3399,1144,524
"2021-11","부산",23326,6956,2943,2772
"2021-11","대구",1627,442,183,134
"2021-11","인천",33299,12837,6761,3961
"2021-11","광주",2960,761,287,178
"2021-11","대전",1959,335,129,54
"2021-11","경기",71624,25822,11781,6538
"2021-11","강원",12260,5785,3019,1825
"2021-11","충북",8,2,3,2
"2021-11","충남",72326,41629,19558,10547
"2021-11","전북",12698,7151,4023,2657
"2021-11","전남",2443,1086,463,245
"2021-11","경북",6781,3751,1848,852
"2021-11","경남",15047,7363,3722,2320
"2021-11","제주",18,9,2,2
"2021-12","부산",45097,20047,9833,9779
"2021-12","대구",1543,432,222,129
"2021-12","인천",57673,21510,10019,5815
"2021-12","광주",287,48,22,13
"2021-12","대전",5202,1119,518,261
"2021-12","울산",692,193,81,24
"2021-12","세종",3169,1391,793,548
"2021-12","경기",64115,20720,10841,6558
"2021-12","강원",1480,976,649,524
"2021-12","충북",1518,596,304,158
"2021-12","충남",8062,3503,1781,747
"2021-12","전북",20321,12918,7877,5422
"2021-12","전남",14964,7292,3692,2403
"2021-12","경북",19371,11587,6451,4032
"2021-12","경남",14125,5096,2408,1608
"2021-12","제주",212,44,11,8
"2022-01","서울",14726,3119,966,549
"2022-01","대구",25,0,2,0
"2022-01","인천",3214,1673,968,498
"2022-01","광주",1583,424,187,112
"2022-01","경기",40791,14161,7727,5235
"2022-01","충북",8773,2603,1625,782
"2022-01","충남",9894,4015,2168,964
"2022-01","전남",817,185,97,44
"2022-01","경북",323,156,115,60
"2022-01","경남",7137,4057,2307,933
"2022-02","서울",27321,5009,1442,649
"2022-02","대구",128,28,12,4
"2022-02","인천",6102,2335,1182,683
"2022-02","광주",2233,334,108,59
"2022-02","대전",13809,3449,1692,967
"2022-02","세종",72193,18446,9154,5790
"2022-02","경기",29098,8404,3762,2272
"2022-02","충북",8123,2168,1271,697
"2022-02","충남",435,156,77,75
"2022-02","전남",17,9,1,1
"2022-02","경북",5367,3768,2501,1400
"2022-02","경남",4320,2007,799,639
"2022-02","제주",2014,860,339,178
"2022-03","서울",8459,1152,290,170
"2022-03","부산",3084,548,222,143
"2022-03","대구",498,199,62,40
"2022-03","인천",54203,23547,11015,6390
"2022-03","대전",566,94,29,12
"2022-03","울산",1961,549,197,79
"2022-03","세종",84375,31492,16764,9272
"2022-03","경기",30090,8547,4295,2735
"2022-03","강원",208,173,117,89
"2022-03","충남",1785,764,254,105
"2022-03","전북",1852,1059,517,286
"2022-03","전남",62,18,7,1
"2022-03","경북",22,7,3,1
"2022-03","경남",5183,2953,1322,768
"2022-03","제주",1142,454,162,103
"2022-04","서울",14644,2269,552,306
"2022-04","부산",20019,5704,2140,2013
"2022-04","대구",240,188,40,33
"2022-04","인천",2893,450,185,99
"2022-04","대전",7454,2301,1371,671
"2022-04","경기",19335,5850,2579,1378
"2022-04","강원",4627,1744,864,471
"2022-04","충북",2638,1352,608,329
"2022-04","충남",990,612,194,88
"2022-04","전북",204,78,60,23
"2022-04","전남",699,334,119,78
"2022-04","경남",17460,9386,5726,2680
"2022-04","제주",305,206,68,34
"2022-05","서울",900,89,31,8
"2022-05","부산",17571,3785,1317,1028
"2022-05","대구",65,29,29,20
"2022-05","인천",3217,649,268,165
"2022-05","광주",81,20,6,3
"2022-05","울산",87,15,11,2
"2022-05","경기",20805,6984,3198,1572
"2022-05","충북",1704,930,481,248
"2022-05","전남",4822,2809,1664,842
"2022-05","경북",13455,10483,6141,3951
"2022-06","서울",454,46,17,6
"2022-06","부산",20838,4843,1603,1285
"2022-06","대구",249,100,44,18
"2022-06","인천",1995,504,221,139
"2022-06","광주",271,47,14,2
"2022-06","대전",298,69,36,5
"2022-06","경기",25399,9516,3937,2066
"2022-06","강원",1413,1054,637,261
"2022-06","충북",10335,2465,1451,718
"2022-06","충남",343,97,25,15
"2022-06","전북",322,63,21,17
"2022-06","전남",15,7,4,1
"2022-06","경북",16273,10906,5445,2815
"2022-06","경남",1426,1066,577,392
"2022-06","제주",32,4,4,0
"2022-07","부산",1087,204,76,27
"2022-07","대구",817,620,452,178
"2022-07","인천",5428,1038,370,221
"2022-07","광주",80,17,20,7
"2022-07","대전",5398,1522,647,330
"2022-07","울산",144,34,15,6
"2022-07","경기",986,334,135,59
"2022-07","강원",12052,9057,5103,3079
"2022-07","충북",769,110,63,36
"2022-07","충남",1388,425,196,79
"2022-07","전북",792,502,339,202
"2022-07","전남",2934,2209,755,388
"2022-07","경북",176,107,63,34
"2022-07","경남",12619,4063,2062,1093
"2022-07","제주",133,56,7,9
"2022-08","서울",715,105,29,20
"2022-08","부산",565,152,69,23
"2022-08","대구",52,29,13,4
"2022-08","인천",6922,2962,1164,672
"2022-08","광주",486,104,36,19
"2022-08","울산",212,66,28,3
"2022-08","경기",6483,1961,866,435
"2022-08","강원",3596,1699,1065,592
"2022-08","충북",5068,1765,708,303
"2022-08","충남",1883,897,357,186
"2022-08","전북",792,582,322,179
"2022-08","전남",426,387,240,102
"2022-08","경북",16,17,6,2
"2022-08","경남",580,580,317,175
"2022-08","제주",144,153,39,20
"2022-09","부산",22226,8523,3792,3245
"2022-09","대구",408,203,114,45
"2022-09","인천",200,83,30,10
"2022-09","경기",5643,1434,654,374
"2022-09","강원",503,375,240,128
"2022-09","충북",321,204,147,83
"2022-09","충남",65,18,2,1
"2022-09","전북",625,451,253,126
"2022-09","전남",645,357,279,86
"2022-09","경북",343,233,177,69
"2022-09","경남",6542,3811,1861,1089
"2022-10","부산",6945,1580,489,424
"2022-10","대구",107,100,40,19
"2022-10","인천",297,153,109,41
"2022-10","광주",91,11,4,0
"2022-10","대전",1659,1005,545,293
"2022-10","울산",78,26,19,5
"2022-10","경기",14229,7015,3427,1852
"2022-10","강원",862,882,776,515
"2022-10","충북",19,8,4,2
"2022-10","충남",4039,1883,1032,514
"2022-10","전북",747,619,424,265
"2022-10","전남",59,35,22,12
"2022-10","경북",91,75,28,15
"2022-10","경남",5,2,0,0
"2022-10","제주",272,93,29,8
"2022-11","서울",21885,8804,3483,2429
"2022-11","대구",7,5,2,3
"2022-11","광주",84,37,10,1
"2022-11","대전",26846,17457,10538,6406
"2022-11","울산",89,24,22,7
"2022-11","경기",8430,5045,2409,1038
"2022-11","강원",616,510,232,100
"2022-11","충남",1036,940,585,227
"2022-11","전북",53,40,19,9
"2022-11","전남",3,0,0,0
"2022-11","경북",388,355,134,85
"2022-11","경남",11011,6120,3770,1949
"2022-11","제주",13,1,1,1
"2022-12","서울",8775,2201,682,433
"2022-12","부산",1689,935,409,277
"2022-12","대구",25,5,1,0
"2022-12","인천",312,93,60,26
"2022-12","대전",93,34,25,10
"2022-12","울산",127,113,114,17
"2022-12","세종",143,44,34,22
"2022-12","경기",3517,1673,738,467
"2022-12","강원",941,785,421,265
"2022-12","충북",128,39,25,11
"2022-12","충남",110,66,65,39
"2022-12","전북",0,0,0,0
"2022-12","경북",364,321,226,90
"2022-12","경남",12331,7608,6300,3198
"2022-12","제주",10,1,0,0
"2023-01","인천",61,14,1,2
"2023-01","경기",106,71,48,21
"2023-01","충남",2,1,0,0
"2023-01","전북",85,38,22,6
"2023-02","서울",20341,5483,1783,1048
"2023-02","부산",3907,2445,881,734
"2023-02","인천",283,143,80,27
"2023-02","광주",34,7,2,0
"2023-02","경기",2741,1050,599,370
"2023-02","충북",2399,858,505,214
"2023-02","전남",7,4,0,0
"2023-02","경북",5,0,0,0
"2023-03","서울",15211,4703,1708,968
"2023-03","부산",1493,738,366,234
"2023-03","인천",1218,732,327,164
"2023-03","광주",3525,2086,1102,514
"2023-03","울산",6,1,1,0
"2023-03","경기",6137,2158,1105,476
"2023-03","충북",16,13,4,1
"2023-03","충남",157,64,34,22
"2023-03","전북",413,294,173,96
"2023-03","경남",1,0,0,0
"2023-03","제주",12,1,0,0
"2023-04","서울",458,108,40,18
"2023-04","부산",2428,1508,583,448
"2023-04","인천",165,89,19,14
"2023-04","광주",14,3,0,0
"2023-04","경기",10368,5149,2549,1199
"2023-04","충북",31221,16676,7784,3673
"2023-04","충남",4,2,0,0
"2023-04","전북",430,440,296,91
"2023-05","서울",13007,4128,1438,691
"2023-05","부산",501,448,186,139
"2023-05","대구",9,1,0,0
"2023-05","인천",28,3,0,0
"2023-05","광주",3284,2965,1651,790
"2023-05","울산",30,11,3,1
"2023-05","경기",23272,16143,6869,3631
"2023-05","충남",96,48,21,10
"2023-05","경남",0,0,0,0
"2023-05","제주",15,1,0,0
"2023-06","서울",25519,5937,1959,1141
"2023-06","부산",10776,6724,3177,2553
"2023-06","인천",4541,2559,1178,599
"2023-06","광주",2289,1665,677,359
"2023-06","울산",21,6,1,0
"2023-06","경기",6312,3856,2485,993
"2023-06","강원",213,137,93,58
"2023-06","충북",1393,657,410,159
"2023-06","충남",5756,4261,1350,642
"2023-06","제주",67,26,14,8
"2023-07","서울",34210,15286,6988,3773
"2023-07","부산",30,4,3,1
"2023-07","인천",788,353,219,104
"2023-07","대전",63,14,4,0
"2023-07","경기",13405,6131,2588,1405
"2023-07","강원",7964,5841,3956,2463
"2023-07","충남",45,10,5,4
"2023-07","전북",4937,3046,1383,766
"2023-07","경북",1,0,0,0
"2023-07","경남",1133,1046,570,182
"2023-07","제주",10,2,0,0
"2023-08","서울",49452,15779,5305,3109
"2023-08","광주",1797,1339,648,335
"2023-08","대전",24894,16458,8154,4609
"2023-08","경기",1282,322,100,51
"2023-08","전북",302,317,293,117
"2023-08","전남",3511,1997,1168,473
"2023-08","경북",9,1,1,0
"2023-08","경남",59,29,17,12
"2023-08","제주",38,15,6,5
"2023-09","서울",9046,2099,519,278
"2023-09","부산",2593,2141,755,614
"2023-09","인천",21432,11716,4699,2680
"2023-09","광주",3051,2474,1258,525
"2023-09","울산",222,145,89,22
"2023-09","경기",4738,1475,588,281
"2023-09","강원",814,733,546,341
"2023-09","충북",3657,2627,928,405
"2023-09","전남",3948,2372,1331,553
"2023-09","경남",1,2,0,0
"2023-09","제주",32,6,4,1
"2023-10","서울",28674,8850,2977,1884
"2023-10","부산",2492,1422,491,378
"2023-10","인천",1777,917,303,221
"2023-10","대전",1456,840,428,183
"2023-10","울산",294,233,178,80
"2023-10","경기",98351,46848,20978,10827
"2023-10","강원",9885,7466,5098,3680
"2023-10","충남",2361,1252,459,169
"2023-10","전북",651,582,470,235
"2023-10","경북",456,428,355,179
"2023-11","서울",31185,9093,2812,1759
"2023-11","부산",2072,866,407,275
"2023-11","인천",1387,881,429,190
"2023-11","대전",342,136,68,22
"2023-11","경기",24597,14523,6198,3444
"2023-11","강원",2493,2252,1319,844
"2023-11","충북",49824,33173,19232,10223
"2023-11","전북",3,2,2,0
"2023-11","경북",1221,1404,730,431
"2023-11","경남",8,1,2,0
"2023-12","서울",16157,5167,1858,1105
"2023-12","부산",341,145,48,43
"2023-12","인천",10277,5501,2397,1382
"2023-12","광주",55,6,6,1
"2023-12","대전",202,99,94,31
"2023-12","울산",289,361,104,53
"2023-12","경기",13727,6612,3465,1847
"2023-12","강원",471,441,252,146
"2023-12","충북",1262,918,824,346
"2023-12","충남",20038,16659,7810,3336
"2023-12","전북",11,2,2,1
"2023-12","경북",647,804,368,150
"2023-12","경남",230,208,183,60
"2023-12","제주",8,0,1,0
"2024-01","서울",26417,13383,4656,2543
"2024-01","부산",146,62,15,13
"2024-01","인천",5876,3478,1436,787
"2024-01","광주",816,574,429,206
"2024-01","울산",31,15,15,1
"2024-01","경기",1443,478,208,84
"2024-01","강원",129,112,80,36
"2024-01","충남",601,430,287,222
"2024-01","전북",8,0,1,0
"2024-01","전남",115,67,85,17
"2024-01","경북",3137,3078,2227,1050
"2024-02","서울",10125,3350,1008,526
"2024-02","부산",491,216,47,62
"2024-02","대구",14,3,3,0
"2024-02","인천",3062,2119,1217,623
"2024-02","광주",2018,2000,897,426
"2024-02","대전",212,89,52,27
"2024-02","울산",84,61,47,8
"2024-02","경기",8884,3731,1751,901
"2024-02","강원",6,1,0,0
"2024-02","충북",2725,1064,880,445
"2024-02","충남",423,198,121,51
"2024-02","전북",16087,11866,7005,4520
"2024-02","경북",11,5,4,5
"2024-02","경남",48,61,23,11
"2024-02","제주",318,200,145,113
"2024-03","대구",666,545,179,83
"2024-03","대전",461,113,36,14
"2024-03","충남",8351,6883,1821,874
"2024-04","서울",293,23,7,2
"2024-04","부산",891,634,276,141
"2024-04","대구",169,197,102,30
"2024-04","인천",841,316,191,72
"2024-04","광주",3026,3287,1963,1086
"2024-04","대전",545,269,172,55
"2024-04","울산",3224,2164,759,355
"2024-04","경기",8218,3104,1522,818
"2024-04","강원",155,36,32,12
"2024-04","충남",9970,8101,3941,1702
"2024-04","전북",384,370,202,95
"2024-04","전남",2572,1144,452,271
"2024-04","경남",1,0,0,0
"2024-05","서울",35750,19265,7892,3324
"2024-05","부산",2052,1233,671,409
"2024-05","대구",157,145,157,65
"2024-05","대전",756,408,220,131
"2024-05","울산",31,10,4,1
"2024-05","경기",7307,3504,1751,839
"2024-05","강원",893,929,890,473
"2024-05","충남",42,58,48,25
"2024-05","전북",32937,21836,12772,7796
"2024-05","경남",5113,3580,2619,1126
"2024-06","서울",34961,12915,4385,2204
"2024-06","부산",1171,932,419,242
"2024-06","인천",1124,454,191,75
"2024-06","광주",61,48,30,6
"2024-06","대전",113,23,13,2
"2024-06","울산",5,1,2,0
"2024-06","경기",224551,86776,40466,21246
"2024-06","강원",120,108,88,61
"2024-06","충북",17668,8803,4301,2204
"2024-06","충남",2,1,0,0
"2024-06","전남",3749,2514,1667,922
"2024-07","서울",103049,59265,23769,11776
"2024-07","인천",5674,1675,693,421
"2024-07","대전",11755,10382,7304,3870
"2024-07","경기",23292,12514,5492,2880
"2024-07","강원",563,267,145,82
"2024-07","전북",30,1,0,0
"2024-07","경북",342,349,173,61
"2024-07","경남",4,1,0,0
"2024-08","서울",64875,32897,12246,6621
"2024-08","부산",77,16,5,1
"2024-08","인천",1690,1483,724,448
"2024-08","광주",84,10,2,1
"2024-08","울산",567,271,139,45
"2024-08","경기",3808,1718,1151,611
"2024-08","충남",2023,1518,403,181
"2024-08","경남",72,8,8,1
"2024-08","제주",1779,1586,1487,851
"2024-09","서울",61378,47041,17843,8493
"2024-09","부산",3027,1759,671,457
"2024-09","대구",4754,2391,1398,707
"2024-09","인천",6842,2161,917,421
"2024-09","경기",29230,13140,6148,3589
"2024-09","강원",2804,2185,1409,587
"2024-09","충북",130,40,21,17
"2024-10","서울",60856,39238,14854,7752
"2024-10","부산",227,89,27,10
"2024-10","인천",11635,6290,4085,2469
"2024-10","대전",1744,927,391,213
"2024-10","울산",29,19,12,4
"2024-10","경기",8517,3393,2085,1188
"2024-10","강원",261,106,57,9
"2024-10","충남",5409,3889,1961,878
"2024-10","전북",312,77,31,11
"2024-10","전남",48,26,7,3
"2024-11","서울",83524,31464,9972,5080
"2024-11","대구",50,4,3,1
"2024-11","인천",574,182,55,35
"2024-11","대전",5630,5088,3092,1824
"2024-11","울산",1422,823,266,115
"2024-11","경기",6856,3253,1575,786
"2024-11","충북",9621,4522,2174,1087
"2024-11","충남",5428,4021,1989,673
"2024-11","전북",521,220,206,89
"2024-12","서울",5649,1797,679,389
"2024-12","부산",137,51,27,13
"2024-12","대구",161,80,31,10
"2024-12","인천",8775,4069,2852,1971
"2024-12","세종",25,5,2,0
"2024-12","경기",3189,1161,534,292
"2024-12","충북",9223,4534,1925,1014
"2024-12","충남",8047,6276,2571,1146
"2024-12","전남",191,90,86,29
"2025-01","서울",29368,19287,6625,3484
"2025-01","부산",155,30,14,10
"2025-01","광주",26,1,0,0
"2025-01","울산",19,0,0,0
"2025-01","세종",2007,1461,842,455
"2025-01","경기",147,23,10,3
"2025-01","전북",11831,6962,4109,2396
